file,relative_path,ext,knot_id,closure_error,length_series_units,length_m,writhe,crossing_est,sigma,Hvortex_X(b0=3),mass_fluid_kg,mass_energy_kg
knot.7_2.short,7_2\knot.7_2.short,.short,7_2,0.059816046146838685,35.88857178267739,35.88857178267739,6.218224091641007,7,1.0,4.0,1.4132382029917237e-36,1.1808906391443798e-06
knot.7_2d.short,7_2\knot.7_2d.short,.short,7_2d,0.08840935600703509,53.016171730622574,53.016171730622574,4.293382613730708,16,1.0,13.0,6.785016664617248e-36,5.66950613755242e-06
knot.7_2r.short,7_2\knot.7_2r.short,.short,7_2r,0.06383439466483291,38.30535999904876,38.30535999904876,5.845220435026594,8,1.0,5.0,1.885509628866601e-36,1.5755168987306255e-06
knot.7_3.short,7_3\knot.7_3.short,.short,7_3,0.06660981168934106,39.940924638914595,39.940924638914595,-6.970088115195943,7,-1.0,-4.0,-1.5728137888667044e-36,-1.3142307336852916e-06
knot.7_3d.short,7_3\knot.7_3d.short,.short,7_3d,0.09525211210917645,57.14036606518766,57.14036606518766,7.161684655379187,16,1.0,13.0,7.312831600601793e-36,6.110544113871823e-06
knot.7_4.short,7_4\knot.7_4.short,.short,7_4,0.0678580309517773,40.6973680816184,40.6973680816184,-6.421194389368124,7,-1.0,-4.0,-1.602601398641346e-36,-1.3391210242752961e-06
knot.7_5.short,7_5\knot.7_5.short,.short,7_5,0.06900913045532947,41.382648380449055,41.382648380449055,7.006363771345459,7,1.0,4.0,1.6295867103982355e-36,1.361669736856547e-06
knot.7_5d.short,7_5\knot.7_5d.short,.short,7_5d,0.10161447848353158,60.924624000675436,60.924624000675436,-7.77354659152737,12,-1.0,-9.0,-5.3980209909048274e-36,-4.5105435478393384e-06
knot.7_6d.short,7_6\knot.7_6d.short,.short,7_6d,0.1019328960628953,61.12245411571741,61.12245411571741,3.567492930785346,8,1.0,5.0,3.0086383675288287e-36,2.513994369289088e-06
knot.7_6s.short,7_6\knot.7_6s.short,.short,7_6s,0.07037210759727464,42.18399005084025,42.18399005084025,2.7409724384119385,7,1.0,4.0,1.6611423451307568e-36,1.3880373750855512e-06
knot.7_7d.short,7_7\knot.7_7d.short,.short,7_7d,0.06974321634250974,41.82733543638115,41.82733543638115,-0.9210532510482057,9,-1.0,-6.0,-2.4706467309145766e-36,-2.064452822598069e-06
knot.8_10s.short,8_10\knot.8_10s.short,.short,8_10s,0.08506023967827826,50.999089629904596,50.999089629904596,-2.4404680962516068,9,-1.0,-6.0,-3.012401644981398e-36,-2.517138934095526e-06
knot.8_11.short,8_11\knot.8_11.short,.short,8_11,0.08667190151919262,51.960525545675964,51.960525545675964,2.9263124284466304,8,1.0,5.0,2.557659587059721e-36,2.137160075409023e-06
knot.8_11d.short,8_11\knot.8_11d.short,.short,8_11d,0.12051451740809692,72.25820502701329,72.25820502701329,4.373337533302004,23,1.0,20.0,1.4227099429054723e-35,1.1888051499302319e-05
knot.8_12d.short,8_12\knot.8_12d.short,.short,8_12d,0.1469856521337413,88.14496632866144,88.14496632866144,-0.4599641624351004,8,-1.0,-5.0,-4.3387709383997606e-36,-3.625442601043215e-06
knot.8_12z.short,8_12\knot.8_12z.short,.short,8_12z,0.0859550315576152,51.54606580141299,51.54606580141299,0.04817061004951476,14,1.0,11.0,5.5819688806624475e-36,4.6642489462960825e-06
knot.8_13d.short,8_13\knot.8_13d.short,.short,8_13d,0.11281507384174169,67.64403722771803,67.64403722771803,-0.32301751835374104,12,-1.0,-9.0,-5.9933719551674445e-36,-5.008014094004174e-06
knot.8_13p.short,8_13\knot.8_13p.short,.short,8_13p,0.08104878730423166,48.600342428587524,48.600342428587524,-1.1984809029135723,9,-1.0,-6.0,-2.870713037055641e-36,-2.398745056532124e-06
knot.8_14d.short,8_14\knot.8_14d.short,.short,8_14d,0.11282503017317681,67.65426262906493,67.65426262906493,3.715290956457696,11,1.0,8.0,5.3282470599055396e-36,4.452241004220761e-06
knot.8_14r.short,8_14\knot.8_14r.short,.short,8_14r,0.08095204743236419,48.53548890679897,48.53548890679897,3.5195254333510437,9,1.0,6.0,2.866882285229747e-36,2.3955441106742305e-06
knot.8_15.short,8_15\knot.8_15.short,.short,8_15,0.08155551580325604,48.91122498068,48.91122498068,7.345488328233081,8,1.0,5.0,2.4075634757909317e-36,2.0117409547016523e-06
knot.8_15d.short,8_15\knot.8_15d.short,.short,8_15d,0.07486405465658894,44.89237456985112,44.89237456985112,8.406067393279066,10,1.0,7.0,3.09364032403662e-36,2.585021330304234e-06
knot.8_15p.short,8_15\knot.8_15p.short,.short,8_15p,0.09187518777092536,55.13894093287374,55.13894093287374,7.653187884210931,11,1.0,8.0,4.342577813946537e-36,3.6286235960715543e-06
knot.8_16.short,8_16\knot.8_16.short,.short,8_16,0.07978290922515623,47.84981164466742,47.84981164466742,2.1045431736525226,8,1.0,5.0,2.3553173915534038e-36,1.968084540887309e-06
knot.8_17.short,8_17\knot.8_17.short,.short,8_17,0.08487359748473372,50.91399326076924,50.91399326076924,-0.3272577918095987,8,-1.0,-5.0,-2.5061459947018787e-36,-2.0941157260026043e-06
knot.8_18.short,8_18\knot.8_18.short,.short,8_18,0.08181401059009066,49.06129280970738,49.06129280970738,0.5167250117863581,8,1.0,5.0,2.414950283710796e-36,2.017913312841462e-06
knot.8_18z.short,8_18\knot.8_18z.short,.short,8_18z,0.06941734423915435,41.611909888511825,41.611909888511825,0.05342699952922006,12,1.0,9.0,3.686883041696519e-36,3.0807302423207098e-06
knot.8_19t.short,8_19\knot.8_19t.short,.short,8_19t,0.021683450922112834,32.312534692202455,32.312534692202455,8.365915403953053,9,1.0,6.0,1.9086288278219064e-36,1.5948351181030158e-06
